PARAM,AVG_TIME,RUN,FAILED
1,64.75ms,1,0
1,50.6ms,2,0
1,51.78ms,3,0
10,173.94ms,1,0
10,182.86ms,2,0
10,206.25ms,3,0
20,320.15ms,1,0
20,314.63ms,2,0
20,342.85ms,3,0
50,786.48ms,1,0
50,859.44ms,2,0
50,826.91ms,3,0
100,1156.33ms,1,0
100,759.16ms,2,0
100,691.3ms,3,0
1000,4857.65ms,1,1
1000,2950.74ms,2,0
1000,2476.34ms,3,0
