PARAM,AVG_TIME,RUN,FAILED
10,669.24ms,1,0
10,282.27ms,2,0
10,262.74ms,3,0
50,9903.56ms,1,0
50,3458.31ms,2,0
50,3616.69ms,3,0
100,10637.55ms,1,1
100,5983.46ms,2,1
100,5557.91ms,3,1
