PARAM,AVG_TIME,RUN,FAILED
10,682.79ms,1,0
10,267.69ms,2,0
10,241.61ms,3,0
100,592.33ms,1,0
100,514.01ms,2,0
100,518.99ms,3,0
1000,708.96ms,1,0
1000,489.29ms,2,0
1000,475.25ms,3,0
