PARAM,AVG_TIME,RUN,FAILED
1,72.0ms,1,1
1,66.0ms,2,1
1,68.0ms,3,1
10,110.0ms,1,1
10,110.0ms,2,1
10,100.0ms,3,1
20,100.0ms,1,1
20,120.0ms,2,1
20,110.0ms,3,1
50,98.0ms,1,1
50,90.0ms,2,1
50,92.0ms,3,1
100,110.0ms,1,1
100,87.0ms,2,1
100,86.0ms,3,1
1000,670.0ms,1,1
1000,420.0ms,2,1
1000,300.0ms,3,1
