PARAM,AVG_TIME,RUN,FAILED
10,150.0ms,1,1
10,81.0ms,2,1
10,86.0ms,3,1
100,170.0ms,1,1
100,85.0ms,2,1
100,79.0ms,3,1
1000,160.0ms,1,1
1000,82.0ms,2,1
1000,90.0ms,3,1
