PARAM,AVG_TIME,RUN,FAILED
10,150.0ms,1,1
10,72.0ms,2,1
10,77.0ms,3,1
50,8300.0ms,1,1
50,3600.0ms,2,1
50,2300.0ms,3,1
100,11000.0ms,1,1
100,7700.0ms,2,1
100,4800.0ms,3,1
